,Date,Open,High,Low,Close,Adj Close,Volume,MA_50,MA_100,MA_200,Close_diff,RSI,SO(%K),RSI_CAT,SO(%K)_CAT,EMA_50,EMA_200,SO_%D
13,2016-11-21,8102.100098,8102.450195,7916.399902,7929.100098,7929.100098,218800.0,8615.630029360002,8571.722534229997,8127.504511745001,-173.0,72.2021362488078,3.736999363760602,OverBought,OverSold,8605.627665132943,8123.0222954217425,33.26825239813997
14,2016-11-22,7989.149902,8019.049805,7938.149902,8002.299805,8002.299805,210200.0,8596.81602546,8569.708530329997,8130.33526126,13.14990299999954,72.21020217155396,19.046866743669867,OverBought,OverSold,8591.577863698825,8126.258693767439,23.314343102834467
15,2016-11-23,8051.200195,8055.200195,7973.100098,8033.299805,8033.299805,181000.0,8579.123017660002,8567.337026429997,8133.313010285001,-17.900390000000698,72.42047588932016,25.046495756410238,OverBought,Balanced,8574.717350147845,8129.36973433204,15.943453954613569
16,2016-11-24,8011.799805,8024.850098,7952.549805,7965.5,7965.5,260500.0,8559.383017660002,8566.106025449997,8136.017260775,-46.29980499999965,72.01272849940307,4.016805004485372,OverBought,OverSold,8555.05936990863,8131.643229088135,16.036722501521826
17,2016-11-25,8007.950195,8122.25,7976.75,8114.299805,8114.299805,177900.0,8544.335009860002,8566.302021549996,8138.771010775,106.3496099999993,67.27644831323605,46.126665007713996,Balanced,Balanced,8541.928774026277,8135.801166687686,25.063321922869864
18,2016-11-28,8080.649902,8146.5,8066.5,8126.899902,8126.899902,189700.0,8532.561015720003,8566.292519589997,8141.625759310001,46.25,62.5989476397204,32.11819020878306,Balanced,Balanced,8527.965005630198,8138.652890289676,27.420553406994145
19,2016-11-29,8131.549805,8197.349609,8128.700195,8142.149902,8142.149902,189700.0,8520.87202158,8565.674018609996,8145.058759795002,10.60009700000046,56.391271782922836,39.110392509362526,Balanced,Balanced,8517.250775966277,8141.63097466015,39.11841590861986
20,2016-11-30,8172.149902,8234.25,8139.25,8224.5,8224.5,248000.0,8510.51102548,8565.041518609996,8149.37226077,52.35009799999989,58.519936289691294,76.8683298659883,Balanced,Balanced,8509.249589361178,8145.849219896544,49.36563752804463
21,2016-12-01,8244.0,8250.799805,8185.049805,8192.900391,8192.900391,157700.0,8498.77204112,8563.687026429994,8153.316762725,-51.09960900000078,40.87508720112019,62.37974896453146,Balanced,Balanced,8498.055706480784,8149.805376493682,59.45282377996076
22,2016-12-02,8153.549805,8159.299805,8070.049805,8086.799805,8086.799805,171500.0,8484.340029400002,8560.848022529995,8156.3052612599995,-66.75,39.78670383583863,15.132961430187168,Balanced,OverSold,8482.61626715451,8152.65490244913,51.460346753568984
23,2016-12-05,8088.75,8141.899902,8056.850098,8128.75,8128.75,126500.0,8471.397021580002,8558.776020579995,8160.01276126,40.0,41.02823361583755,52.838646774193585,Balanced,Balanced,8470.395322364708,8156.03107955592,43.450452389637405
24,2016-12-06,8153.149902,8178.700195,8130.850098,8143.149902,8143.149902,115300.0,8458.717011800001,8556.828515689996,8164.237509795002,-10.0,48.01825570343967,60.40848945836338,Balanced,Balanced,8458.52458551804,8159.844971615622,42.79336588758138
25,2016-12-07,8168.399902,8190.450195,8077.5,8102.049805,8102.049805,169800.0,8443.409004000001,8554.617011789995,8168.669257845001,-66.35009700000046,49.41986952771236,54.63722600415025,Balanced,Balanced,8444.730062513727,8163.618726662713,55.9614540789024
26,2016-12-08,8152.100098,8256.25,8151.75,8246.849609,8246.849609,142500.0,8431.715000080001,8552.406503969996,8175.021755400001,94.7495110000009,51.01672094123721,92.62742824426897,Balanced,OverBought,8435.700792431373,8169.447171786842,69.2243812355942
27,2016-12-09,8271.700195,8274.950195,8241.950195,8261.75,8261.75,149700.0,8422.489003980001,8549.813505919996,8181.425754425,-9.95019499999944,51.769332113673194,96.53674891950145,Balanced,OverBought,8425.049705959216,8175.884723007961,81.26713438930689
28,2016-12-12,8230.650391,8230.650391,8154.450195,8170.799805,8170.799805,108100.0,8411.776992260002,8546.326503969996,8186.465002475,-59.850585999999566,59.07377474142194,82.23230462184809,Balanced,OverBought,8412.618839314118,8181.320023584951,90.4654939285395
